date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2022-02-08,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42410976.0,71365.0,505279.0,1217.0,2.0,1702679391.0,952678279.0,736217486.0,14652203.0
2022-02-09,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42478060.0,67084.0,506520.0,1241.0,2.0,1710023580.0,954257234.0,740575198.0,15191148.0
2022-02-10,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42536137.0,58077.0,507177.0,657.0,2.0,1710398811.0,954313669.0,740861221.0,15223921.0
2022-02-11,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42586544.0,50407.0,507981.0,804.0,2.0,1720173263.0,956363985.0,747888827.0,15920451.0
2022-02-12,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42631421.0,44877.0,508665.0,684.0,2.0,1723371281.0,957047881.0,750185166.0,16138234.0
2022-02-13,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42665534.0,34113.0,509011.0,346.0,2.0,1727912049.0,958033046.0,753481207.0,16397796.0
2022-02-14,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42692943.0,27409.0,509358.0,347.0,2.0,1729729648.0,958462316.0,754746231.0,16521101.0
2022-02-15,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42723558.0,30615.0,509872.0,514.0,2.0,1736068837.0,959602131.0,759530099.0,16936607.0
2022-02-16,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42754315.0,30757.0,510413.0,541.0,2.0,1738650284.0,960091888.0,761473602.0,17084794.0
2022-02-17,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42780235.0,25920.0,510905.0,492.0,2.0,1743931966.0,961022242.0,765507484.0,17402240.0
2022-02-18,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42802505.0,22270.0,511230.0,325.0,2.0,1747936912.0,961693778.0,768626041.0,17617093.0
2022-02-19,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42822473.0,19968.0,511903.0,673.0,2.0,1751467446.0,962283459.0,771380004.0,17803983.0
2022-02-20,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42838524.0,16051.0,512109.0,206.0,2.0,1753406786.0,962616766.0,772901521.0,17888499.0
2022-02-21,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42851929.0,13405.0,512344.0,235.0,2.0,1755791055.0,962967313.0,774808452.0,18015290.0
2022-02-22,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42867031.0,15102.0,512622.0,278.0,2.0,1759523094.0,963517480.0,777816191.0,18189423.0
2022-02-23,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42881179.0,14148.0,512924.0,302.0,2.0,1761691159.0,963841804.0,779561195.0,18288160.0
2022-02-24,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42894345.0,13166.0,513226.0,302.0,2.0,1764970949.0,964304634.0,782222068.0,18444247.0
2022-02-25,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42905844.0,11499.0,513481.0,255.0,2.0,1768596814.0,964818498.0,785172630.0,18605686.0
2022-02-26,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42916117.0,10273.0,513724.0,243.0,2.0,1772317897.0,965336168.0,788213991.0,18767738.0
2022-02-27,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,42924130.0,8013.0,513843.0,119.0,2.0,1773724815.0,965531308.0,789372639.0,18820868.0
